date,Джирайя,Тень,Uchiha Madara,Orochimaru,AloneInTheDark,Сайдзо,Shisui,Rosich,YuRaN III,Вулкан,Мастер ИП,Rock Lee,Айзен,Kirishima Touka,Нет,СОНЯ,Konan,Шикигами,Гусь,треш,_ZeuS_,Канеки Учиха,sensey,Хедин,Социопат_мл,_Indra_,Yahiko,Silf,misha10x10x,-Tobi-,Учиха Хидате,тихиЙ ужаС,Rokyro Rau,Pain,Trigun,CM Punk,-Uchiha-Artem-,герцогиня,zzStop,KillerNick,Toster,Fludo,Mrak,Акасуна но Акира,Freir,Deathstroke,Сбежавший Учиха,Alukard,Социопат,~TITAN~,Shiro,Пчёлка,Inoryanka,Ога Тацуми,mazumuz,Хрустальный Лис,ШикамарУ,Кимимаро,Тобирама Сенджу,Supa,Grimmjow,Акасуна_но_Сасори,Jugernaut,Ogawa,Dead pool,Djons,Nikitoss,LoLka 80 lvl,Vizer fon Ghoul,Garadin,nom,TipS,~KiLLeR~,Senju Hashirama,Joker,L Lawliet,Mirajane,Флэш,Учиха Обито,Mr Trololo,Сенджу Хаширама,Джираия,Crowley,Учиха Саске,DeYsTrave,ProoNoob,Азура,Киригайя Казуто,Mikadzuki,Nasa,Dark Bane,~Uchiha_Storm~,-Mitsuki-,_ALEKSEY_,Эйс,Nagato,Feel my Pain,-Sally-,KingJulian,Petrovich192
20180101,92111,67913,64210,57350,56265,51519,49733,45037,38218,35114,33559,31641,31212,29275,29058,29010,28043,27021,26872,25438,25325,24638,24564,24028,23855,23799,23502,23097,22068,21484,21453,21197,20828,20606,20410,20357,20263,19537,19187,18647,18251,17651,17023,16632,16597,16279,16253,16102,15929,15393,14667,14498,14473,14447,14372,14074,14000,12908,12646,12608,12530,12279,11575,11559,11392,11357,11211,10988,10521,10494,10324,10211,9884,9649,9623,9531,9430,9394,9306,9243,9075,9065,8905,8873,8864,8406,8121,8121,8024,7937,7875,7837,7747,7577,7569,7561,7516,7507,7456,7441
date,Джирайя,Тень,Uchiha Madara,Orochimaru,AloneInTheDark,Сайдзо,Shisui,Rosich,YuRaN III,Вулкан,Мастер ИП,Rock Lee,Айзен,Kirishima Touka,Нет,СОНЯ,Konan,Шикигами,Гусь,треш,_ZeuS_,Канеки Учиха,sensey,Хедин,Социопат_мл,Yahiko,_Indra_,Silf,misha10x10x,-Tobi-,Учиха Хидате,тихиЙ ужаС,Rokyro Rau,Pain,Trigun,CM Punk,-Uchiha-Artem-,герцогиня,zzStop,KillerNick,Toster,Fludo,Mrak,Акасуна но Акира,Freir,Deathstroke,Сбежавший Учиха,Alukard,Социопат,~TITAN~,Shiro,Ога Тацуми,Пчёлка,Inoryanka,mazumuz,Хрустальный Лис,ШикамарУ,Кимимаро,Тобирама Сенджу,Supa,Grimmjow,Акасуна_но_Сасори,Jugernaut,Ogawa,Dead pool,Djons,Nikitoss,LoLka 80 lvl,Vizer fon Ghoul,Garadin,nom,TipS,~KiLLeR~,Joker,Senju Hashirama,L Lawliet,Mirajane,Флэш,Учиха Обито,Mr Trololo,DeYsTrave,Джираия,Сенджу Хаширама,Crowley,Учиха Саске,ProoNoob,Азура,Киригайя Казуто,Mikadzuki,Nasa,Dark Bane,~Uchiha_Storm~,-Mitsuki-,_ALEKSEY_,Feel my Pain,Эйс,-Sally-,Nagato,Petrovich192,KingJulian
20180102,92357,68031,64426,57582,56365,51551,50154,45093,38258,35178,33568,31745,31237,29369,29154,29010,28090,27217,26872,25438,25325,24638,24592,24090,23901,23800,23799,23097,22165,21556,21500,21197,20848,20606,20456,20424,20263,19574,19187,18836,18293,17672,17023,16636,16597,16279,16253,16107,15970,15419,14667,14575,14570,14529,14377,14074,14000,12909,12729,12608,12530,12279,11629,11559,11392,11357,11211,11175,10570,10507,10324,10211,9933,9795,9649,9562,9432,9394,9328,9243,9141,9106,9075,8984,8873,8406,8121,8121,8028,7937,7875,7837,7768,7640,7581,7569,7565,7561,7557,7456
date,Джирайя,Тень,Uchiha Madara,Orochimaru,AloneInTheDark,Сайдзо,Shisui,Rosich,YuRaN III,Вулкан,Мастер ИП,Rock Lee,Айзен,Kirishima Touka,Нет,СОНЯ,Konan,Шикигами,Гусь,треш,_ZeuS_,Канеки Учиха,sensey,Хедин,Yahiko,Социопат_мл,_Indra_,Silf,misha10x10x,-Tobi-,Учиха Хидате,тихиЙ ужаС,Rokyro Rau,Pain,Trigun,CM Punk,-Uchiha-Artem-,герцогиня,zzStop,KillerNick,Toster,Fludo,Mrak,Freir,Акасуна но Акира,Deathstroke,Сбежавший Учиха,Alukard,Социопат,~TITAN~,Пчёлка,Shiro,Ога Тацуми,Inoryanka,mazumuz,Хрустальный Лис,ШикамарУ,Кимимаро,Тобирама Сенджу,Supa,Grimmjow,Акасуна_но_Сасори,Jugernaut,Ogawa,Dead pool,Djons,LoLka 80 lvl,Nikitoss,Garadin,Vizer fon Ghoul,nom,TipS,~KiLLeR~,Joker,L Lawliet,Senju Hashirama,Учиха Обито,Mirajane,DeYsTrave,Флэш,Mr Trololo,Джираия,Crowley,Сенджу Хаширама,Учиха Саске,ProoNoob,Азура,Киригайя Казуто,Mikadzuki,Nasa,_ALEKSEY_,Dark Bane,~Uchiha_Storm~,-Mitsuki-,Petrovich192,Feel my Pain,-Sally-,Эйс,Nagato,KingJulian
20180103,92678,68296,64766,58010,56529,51596,50504,45208,38277,35342,33578,31870,31485,29452,29225,29010,28172,27432,26872,25438,25325,24638,24603,24249,24106,23910,23799,23097,22282,21598,21578,21197,20887,20606,20504,20470,20263,19614,19187,19035,18335,17721,17023,16665,16636,16288,16253,16107,16015,15419,14685,14667,14628,14602,14385,14096,14000,12986,12848,12608,12530,12279,11796,11559,11392,11357,11343,11211,10582,10576,10324,10211,10027,9833,9731,9649,9444,9432,9410,9394,9243,9149,9093,9075,8873,8406,8155,8144,8065,7937,7895,7875,7837,7823,7634,7632,7599,7569,7561,7456
date,Джирайя,Тень,Uchiha Madara,Orochimaru,AloneInTheDark,Сайдзо,Shisui,Rosich,YuRaN III,Вулкан,Мастер ИП,Rock Lee,Айзен,Kirishima Touka,Нет,СОНЯ,Konan,Шикигами,Гусь,треш,_ZeuS_,Канеки Учиха,sensey,Yahiko,Хедин,Социопат_мл,_Indra_,Silf,misha10x10x,Учиха Хидате,-Tobi-,тихиЙ ужаС,Rokyro Rau,Trigun,Pain,CM Punk,-Uchiha-Artem-,герцогиня,KillerNick,zzStop,Toster,Fludo,Mrak,Freir,Акасуна но Акира,Deathstroke,Сбежавший Учиха,Alukard,Социопат,~TITAN~,Ога Тацуми,Inoryanka,Пчёлка,Shiro,mazumuz,Хрустальный Лис,ШикамарУ,Кимимаро,Тобирама Сенджу,Supa,Grimmjow,Акасуна_но_Сасори,Jugernaut,Ogawa,LoLka 80 lvl,Djons,Dead pool,Nikitoss,Garadin,Vizer fon Ghoul,nom,TipS,~KiLLeR~,Joker,L Lawliet,DeYsTrave,Senju Hashirama,Учиха Обито,Mirajane,Флэш,Crowley,Mr Trololo,Джираия,Сенджу Хаширама,Учиха Саске,ProoNoob,Mikadzuki,Азура,Киригайя Казуто,_ALEKSEY_,Nasa,Dark Bane,~Uchiha_Storm~,-Mitsuki-,Petrovich192,Feel my Pain,-Sally-,Эйс,Nagato,KingJulian
20180104,92970,68440,65071,58432,56748,51618,50871,45332,38354,35448,33800,31977,31775,29572,29306,29010,28321,27628,26872,25438,25325,24638,24630,24395,24374,24045,23799,23097,22398,21837,21642,21197,20887,20811,20606,20602,20263,19668,19243,19187,18379,17838,17023,16711,16636,16308,16253,16107,16047,15419,14797,14757,14690,14667,14391,14096,14000,13028,12921,12608,12530,12279,11993,11559,11445,11428,11392,11211,10686,10637,10324,10211,10057,10041,9923,9718,9649,9444,9432,9394,9258,9243,9193,9075,8873,8406,8201,8198,8144,7981,7937,7875,7837,7823,7689,7655,7643,7569,7561,7456
date,Джирайя,Тень,Uchiha Madara,Orochimaru,AloneInTheDark,Сайдзо,Shisui,Rosich,YuRaN III,Вулкан,Мастер ИП,Rock Lee,Айзен,Kirishima Touka,Нет,СОНЯ,Konan,Шикигами,Гусь,треш,_ZeuS_,Yahiko,sensey,Канеки Учиха,Хедин,Социопат_мл,_Indra_,Silf,misha10x10x,Учиха Хидате,-Tobi-,тихиЙ ужаС,Trigun,Rokyro Rau,CM Punk,Pain,-Uchiha-Artem-,герцогиня,KillerNick,zzStop,Toster,Fludo,Mrak,Freir,Акасуна но Акира,Deathstroke,Сбежавший Учиха,Alukard,Социопат,~TITAN~,Inoryanka,Ога Тацуми,Пчёлка,Shiro,mazumuz,Хрустальный Лис,ШикамарУ,Кимимаро,Тобирама Сенджу,Supa,Grimmjow,Акасуна_но_Сасори,Jugernaut,LoLka 80 lvl,Ogawa,Djons,Dead pool,Nikitoss,Garadin,Vizer fon Ghoul,nom,TipS,Joker,~KiLLeR~,L Lawliet,DeYsTrave,Senju Hashirama,Учиха Обито,Mirajane,Crowley,Флэш,Mr Trololo,Джираия,Сенджу Хаширама,Учиха Саске,ProoNoob,Mikadzuki,Азура,Киригайя Казуто,_ALEKSEY_,Nasa,Dark Bane,~Uchiha_Storm~,-Mitsuki-,Petrovich192,Feel my Pain,-Sally-,Эйс,Nagato,KingJulian
20180105,93296,68707,65399,58593,56885,51784,51024,45450,38552,35543,33980,32131,32043,29863,29392,29010,28389,27675,26872,25438,25325,24724,24661,24638,24544,24298,23799,23097,22574,21963,21657,21197,21036,20900,20745,20606,20263,19701,19305,19187,18423,17914,17023,16743,16636,16304,16253,16107,16075,15419,14862,14855,14712,14667,14390,14097,14000,13111,13025,12608,12530,12279,12074,11587,11559,11469,11392,11211,10932,10721,10324,10211,10130,10081,10019,10001,9649,9444,9432,9408,9394,9243,9207,9075,8873,8406,8385,8217,8144,8002,7937,7875,7837,7823,7805,7735,7700,7569,7561,7456
