date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,sensey,Rock Lee,Yahiko,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,РИДИК,Шикигами,-Tobi-,Trigun,Neji Hyuga,DeYsTrave,СОНЯ,Konan,Fludo,Ога Тацуми,Freir,Учиха Хидате,Гусь,Jugernaut,треш,_ZeuS_,Kira,Конс,_Indra_,Канеки Учиха,Deathstroke,Silf,герцогиня,Акасуна но Акира,Petrovich192,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,Социопат,zzStop,LoLka 80 lvl,Mikadzuki,Сбежавший Учиха,ArtiGarPotr,mazumuz,Son of Sparda,Mrak,Sasuke,Vizer fon Ghoul,Кимимаро,Нагато Пейн,Леди ангел,Ledi,Alukard,L Lawliet,~TITAN~,Пчёлка,Тобирама Сенджу,Firebug,Garadin,Scifsyyh,Хрустальный Лис,ШикамарУ,Kcapa,Последователь,Ogawa,~KiLLeR~,-Sally-,Brave,Supa,Grimmjow,Джираия,Акасуна_но_Сасори,TipS,Djons,Dead pool,Учиха Обито,Nikitoss,ArtOff,Сумасшедший,Уайт,nom,Торуне,Азура,Mirajane,Crowley
20190106,135169,93709,92931,79754,76582,66955,64657,63387,61166,57649,56761,52356,51742,49771,49768,49308,43395,40439,39608,38869,37669,36487,35916,35404,35403,35101,31107,30537,30347,29010,28942,28849,28445,27866,27368,26872,25680,25438,25325,25264,24873,24741,24646,24405,24250,24089,23363,23059,22513,21730,21197,20606,19513,19278,18897,18738,17712,17483,17247,17047,17023,16832,16782,16744,16691,16473,16363,16262,15735,15419,15414,15293,15259,15080,14944,14103,14000,13190,13102,13010,12936,12842,12840,12608,12533,12487,12279,11680,11621,11392,11227,11211,11059,10931,10669,10322,10124,10025,9885,9813
date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,Rock Lee,sensey,Yahiko,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,РИДИК,-Tobi-,Trigun,Neji Hyuga,DeYsTrave,СОНЯ,Fludo,Konan,Ога Тацуми,Freir,Учиха Хидате,Гусь,Jugernaut,треш,_ZeuS_,Kira,Конс,_Indra_,Канеки Учиха,Deathstroke,Silf,герцогиня,Акасуна но Акира,Petrovich192,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,Социопат,zzStop,LoLka 80 lvl,Mikadzuki,Сбежавший Учиха,ArtiGarPotr,mazumuz,Son of Sparda,Sasuke,Mrak,Vizer fon Ghoul,Нагато Пейн,Кимимаро,Леди ангел,Ledi,Alukard,L Lawliet,Firebug,~TITAN~,Пчёлка,Тобирама Сенджу,Garadin,Scifsyyh,Хрустальный Лис,ШикамарУ,Kcapa,Ogawa,Последователь,~KiLLeR~,Brave,-Sally-,Supa,Grimmjow,Джираия,Акасуна_но_Сасори,TipS,Djons,Учиха Обито,Dead pool,Nikitoss,ArtOff,Сумасшедший,Уайт,nom,Торуне,Азура,Mirajane,Crowley
20190107,135443,93937,93161,79800,76819,67105,64735,63649,61292,57649,56892,52722,51934,49933,49833,49588,43546,40725,39647,38869,37728,36589,36132,35526,35457,35198,31208,30541,30474,29010,28964,28942,28601,27866,27468,26872,25855,25438,25325,25279,25077,24941,24646,24405,24360,24144,23382,23284,22562,21730,21197,20606,19641,19278,19002,18931,17848,17483,17352,17076,17061,17023,16867,16745,16744,16655,16473,16262,15837,15437,15419,15414,15317,15160,14944,14103,14005,13192,13155,13106,12986,12913,12842,12608,12533,12487,12279,11734,11621,11413,11392,11211,11059,10951,10849,10322,10261,10025,9927,9813
date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,Rock Lee,sensey,Yahiko,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,РИДИК,-Tobi-,Trigun,DeYsTrave,Neji Hyuga,Fludo,СОНЯ,Konan,Ога Тацуми,Freir,Учиха Хидате,Гусь,Jugernaut,треш,Kira,_ZeuS_,Конс,_Indra_,Канеки Учиха,Deathstroke,Silf,герцогиня,Petrovich192,Акасуна но Акира,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,Социопат,zzStop,Mikadzuki,LoLka 80 lvl,Сбежавший Учиха,ArtiGarPotr,mazumuz,Sasuke,Son of Sparda,Mrak,Vizer fon Ghoul,Леди ангел,Нагато Пейн,Кимимаро,Ledi,Alukard,L Lawliet,Firebug,~TITAN~,Пчёлка,Garadin,Тобирама Сенджу,Scifsyyh,Хрустальный Лис,ШикамарУ,Ogawa,Последователь,~KiLLeR~,Kcapa,Brave,-Sally-,Supa,Grimmjow,Джираия,Акасуна_но_Сасори,TipS,Djons,Учиха Обито,Dead pool,Nikitoss,Сумасшедший,ArtOff,Уайт,Торуне,nom,Азура,Mirajane,Crowley
20190108,135762,94169,93386,79943,77102,67257,64884,63737,61385,57649,57032,53058,52097,49938,49896,49838,43655,40842,39715,38869,37818,36734,36333,35796,35499,35302,31371,30624,30541,29040,29010,28942,28752,27866,27644,26872,25915,25438,25339,25325,25263,24950,24646,24405,24397,24184,23572,23426,22664,21730,21197,20606,19772,19278,19097,19002,18043,17483,17482,17275,17120,17023,16950,16844,16745,16744,16529,16262,15846,15609,15419,15414,15329,15317,14944,14103,14005,13330,13297,13235,13192,12913,12842,12608,12533,12487,12279,11847,11621,11596,11392,11211,11086,11059,10990,10432,10322,10025,9957,9813
date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,Rock Lee,Yahiko,sensey,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,РИДИК,-Tobi-,Trigun,DeYsTrave,Neji Hyuga,Fludo,СОНЯ,Konan,Ога Тацуми,Freir,Учиха Хидате,Гусь,Jugernaut,Конс,треш,Kira,_ZeuS_,_Indra_,Канеки Учиха,Silf,Deathstroke,герцогиня,Petrovich192,Акасуна но Акира,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,Социопат,zzStop,Mikadzuki,LoLka 80 lvl,Сбежавший Учиха,mazumuz,ArtiGarPotr,Sasuke,Son of Sparda,Vizer fon Ghoul,Mrak,Леди ангел,Нагато Пейн,Кимимаро,Ledi,Alukard,L Lawliet,Firebug,~TITAN~,Пчёлка,Garadin,Тобирама Сенджу,Scifsyyh,Хрустальный Лис,Brave,ШикамарУ,Ogawa,Последователь,~KiLLeR~,Kcapa,-Sally-,Supa,Grimmjow,Джираия,Акасуна_но_Сасори,TipS,Djons,Учиха Обито,Dead pool,Nikitoss,Сумасшедший,Уайт,ArtOff,Торуне,nom,Mirajane,Азура,Джонни Блэк
20190109,135969,94358,93572,80003,77352,67304,64961,63858,61513,57649,57223,53441,52333,51538,49996,49961,43762,41035,39715,38869,37944,36837,36500,35908,35538,35470,31468,30808,30618,29184,29010,28942,28844,27866,27796,26872,26004,25485,25438,25363,25325,25014,24646,24533,24405,24184,23742,23595,22774,21730,21197,20606,19903,19278,19248,19002,18126,17588,17483,17393,17146,17055,17023,17016,16789,16744,16666,16262,15852,15718,15419,15414,15352,15331,14944,14103,14103,14005,13485,13341,13268,13192,12842,12608,12533,12487,12279,11850,11621,11596,11392,11211,11139,11085,11059,10604,10322,10101,10025,9877
date,Джирайя,Тень,Uchiha Madara,AloneInTheDark,Shisui,Orochimaru,Rosich,Сайдзо,Айзен,Tayuya,YuRaN III,Нет,Мастер ИП,Rock Lee,Yahiko,sensey,Хедин,Kirishima Touka,Вулкан,misha10x10x,Социопат_мл,KillerNick,Rokyro Rau,Шикигами,-Tobi-,РИДИК,Trigun,DeYsTrave,Neji Hyuga,Fludo,СОНЯ,Konan,Ога Тацуми,Учиха Хидате,Freir,Гусь,Jugernaut,Конс,треш,Kira,_ZeuS_,_Indra_,Silf,Канеки Учиха,Deathstroke,герцогиня,Petrovich192,Акасуна но Акира,-Uchiha-Artem-,CM Punk,тихиЙ ужаС,Pain,Социопат,Mikadzuki,zzStop,LoLka 80 lvl,Сбежавший Учиха,mazumuz,Sasuke,ArtiGarPotr,Son of Sparda,Vizer fon Ghoul,Леди ангел,Mrak,Нагато Пейн,Ledi,Кимимаро,Alukard,L Lawliet,Firebug,~TITAN~,Garadin,Пчёлка,Тобирама Сенджу,Scifsyyh,Brave,Хрустальный Лис,ШикамарУ,Ogawa,Последователь,Kcapa,~KiLLeR~,-Sally-,Supa,Grimmjow,Джираия,Акасуна_но_Сасори,TipS,Учиха Обито,Djons,Dead pool,Сумасшедший,Nikitoss,Уайт,ArtOff,Торуне,nom,Mirajane,Азура,Джонни Блэк
20190110,136187,94608,93679,80068,77468,67346,65049,63958,61674,57649,57353,53751,52556,51628,50140,49972,43820,41224,39729,38869,38026,36857,36643,35931,35636,35587,31584,30946,30668,29330,29010,28942,28844,28105,27937,26872,26155,25684,25438,25364,25325,25046,24704,24646,24405,24184,23916,23814,22839,21730,21197,20606,20038,19380,19278,19002,18215,17653,17526,17483,17176,17154,17119,17023,16827,16769,16744,16262,15889,15811,15419,15416,15414,15355,14944,14145,14103,14005,13524,13399,13299,13269,12842,12608,12533,12487,12279,11875,11718,11621,11392,11253,11211,11180,11059,10745,10322,10235,10025,9914
