date,Джирайя,Майто Гай,Uchiha Madara,Shisui,AloneInTheDark,Айзен,Rosich,sensey,YuRaN III,Yahiko,Сайдзо,Нет,Orochimaru,Мастер ИП,Rock Lee,Tayuya,РИДИК,Rokyro Rau,Хедин,-Tobi-,KillerNick,Kira,Вулкан,misha10x10x,DeYsTrave,Kirishima Touka,Petrovich192,Jugernaut,Neji Hyuga,Fludo,сноК,Социопат_мл,_Indra_,Леди ангел,Акасуна но Акира,Trigun,Ога Тацуми,Silf,Freir,Учиха Хидате,СОНЯ,Vizer fon Ghoul,Konan,Нагато Пейн,ArtiGarPotr,-Uchiha-Artem-,Kcapa,Гусь,герцогиня,Izaya Orihara,Firebug,CM Punk,треш,_ZeuS_,Канеки Учиха,Deathstroke,Mikadzuki,Andara,Торуне,L Lawliet,Pain,Joker,mazumuz,тихиЙ ужаС,Ledi,Сбежавший Учиха,Garadin,Социопат,Brave,zzStop,Курама Якумо,LoLka 80 lvl,Магистр,Изуки Мидория,Хичиго Широсаки,ШикамарУ,Mrak,Кимимаро,Тобирама Сенджу,Ogawa,Alukard,Mirajane,Пчёлка,Djons,~TITAN~,Scifsyyh,Последователь,~KiLLeR~,Г а а р а,_Призрак_,TheJoker,Хрустальный Лис,StanLee,Корвин,-Sally-,Supa,Grimmjow,Джираия,Уайт,Акасуна_но_Сасори
20200101,167631,120194,119731,99032,96419,96235,85756,76931,73862,73380,72521,70925,70007,69055,61921,57649,54275,53690,53431,47285,46193,43517,42063,41958,41800,41252,40493,40349,40230,39766,39494,39093,38686,35790,34739,33718,33361,32988,30317,29463,29010,28964,28942,28216,27937,27592,27284,26870,26233,26157,25983,25959,25438,25325,24646,24526,24008,23799,23529,23182,23109,23033,21706,21201,20970,20870,20756,20269,20197,19278,19093,19002,18607,18452,18016,17384,17023,16744,16726,16578,16473,15694,15526,15498,15411,15275,15236,15040,14942,14542,14181,14105,13886,13855,12842,12608,12535,12487,12349,12278
date,Джирайя,Майто Гай,Uchiha Madara,Shisui,AloneInTheDark,Айзен,Rosich,sensey,YuRaN III,Yahiko,Сайдзо,Нет,Orochimaru,Мастер ИП,Rock Lee,Tayuya,РИДИК,Rokyro Rau,Хедин,-Tobi-,KillerNick,Kira,misha10x10x,Вулкан,DeYsTrave,Kirishima Touka,Itachi Uchiha,Petrovich192,Neji Hyuga,сноК,Fludo,Социопат_мл,_Indra_,Леди ангел,Акасуна но Акира,Trigun,Ога Тацуми,Silf,Freir,Учиха Хидате,СОНЯ,Vizer fon Ghoul,Konan,Нагато Пейн,ArtiGarPotr,-Uchiha-Artem-,Kcapa,Гусь,герцогиня,Izaya Orihara,CM Punk,Firebug,треш,_ZeuS_,Канеки Учиха,Deathstroke,Mikadzuki,Торуне,Andara,L Lawliet,Младший Брат,Pain,mazumuz,тихиЙ ужаС,Ledi,Garadin,Сбежавший Учиха,Социопат,Brave,zzStop,Курама Якумо,LoLka 80 lvl,Большой Брат,Изуки Мидория,Хичиго Широсаки,ШикамарУ,Mrak,Тобирама Сенджу,Кимимаро,Ogawa,Alukard,Mirajane,Пчёлка,Djons,~TITAN~,Последователь,Scifsyyh,~KiLLeR~,Г а а р а,_Призрак_,TheJoker,Хрустальный Лис,StanLee,Корвин,-Sally-,Supa,Grimmjow,Джираия,Уайт,Акасуна_но_Сасори
20200102,167631,120345,119829,99210,96579,96267,85979,76973,73909,73750,72521,70976,70007,69530,61921,57649,54817,53827,53642,47335,46193,43613,42118,42063,41800,41252,40849,40650,40230,39953,39858,39168,38686,35864,34739,33718,33361,32988,30317,29520,29010,28975,28942,28216,27937,27592,27284,26870,26233,26157,26095,26025,25438,25325,24646,24526,24101,23854,23838,23182,23173,23116,21706,21201,20970,20921,20870,20269,20197,19278,19106,19002,18670,18452,18111,17384,17023,16759,16744,16578,16473,15694,15531,15501,15411,15306,15288,15047,14942,14542,14181,14105,14053,13855,12842,12608,12535,12487,12349,12278
date,Джирайя,Майто Гай,Uchiha Madara,Shisui,AloneInTheDark,Айзен,Rosich,sensey,YuRaN III,Yahiko,Сайдзо,Нет,Мастер ИП,Orochimaru,Rock Lee,Tayuya,РИДИК,Rokyro Rau,Хедин,-Tobi-,KillerNick,Kira,misha10x10x,Вулкан,DeYsTrave,Kirishima Touka,Itachi Uchiha,Petrovich192,сноК,Neji Hyuga,Fludo,Социопат_мл,_Indra_,Леди ангел,Акасуна но Акира,Trigun,Ога Тацуми,Silf,Freir,Учиха Хидате,СОНЯ,Vizer fon Ghoul,Konan,Нагато Пейн,ArtiGarPotr,-Uchiha-Artem-,Kcapa,Гусь,герцогиня,Izaya Orihara,CM Punk,Firebug,треш,_ZeuS_,Канеки Учиха,Deathstroke,Mikadzuki,Торуне,Andara,Младший Брат,L Lawliet,Pain,mazumuz,тихиЙ ужаС,Garadin,Ledi,Сбежавший Учиха,Социопат,Brave,zzStop,Курама Якумо,LoLka 80 lvl,Большой Брат,Изуки Мидория,Хичиго Широсаки,ШикамарУ,Mrak,Тобирама Сенджу,Кимимаро,Ogawa,Alukard,Mirajane,Пчёлка,Djons,~TITAN~,Последователь,Scifsyyh,~KiLLeR~,Г а а р а,_Призрак_,TheJoker,StanLee,Хрустальный Лис,Корвин,-Sally-,Supa,Grimmjow,Джираия,Уайт,Акасуна_но_Сасори
20200103,167830,120535,119925,99524,96809,96480,86206,77047,73962,73947,72729,71072,70057,70007,61921,57649,54865,54011,53826,47807,46193,43655,42167,42063,41800,41252,41063,40778,40343,40230,39921,39240,38686,35954,34739,33718,33361,32988,30317,29574,29010,28983,28942,28216,27937,27592,27284,26870,26233,26157,26138,26091,25438,25325,24646,24526,24171,24169,24011,23248,23182,23133,21706,21201,21001,20970,20870,20269,20197,19278,19119,19002,18727,18452,18310,17384,17023,16798,16744,16578,16473,15694,15531,15503,15411,15357,15309,15062,14942,14542,14181,14180,14105,13855,12842,12608,12535,12487,12349,12278
date,Джирайя,Майто Гай,Uchiha Madara,Shisui,AloneInTheDark,Айзен,Rosich,sensey,Yahiko,YuRaN III,Сайдзо,Нет,Мастер ИП,Orochimaru,Rock Lee,Tayuya,РИДИК,Rokyro Rau,Хедин,-Tobi-,KillerNick,Kira,misha10x10x,Вулкан,DeYsTrave,Kirishima Touka,Itachi Uchiha,Petrovich192,сноК,Neji Hyuga,Fludo,Социопат_мл,_Indra_,Леди ангел,Акасуна но Акира,Trigun,Ога Тацуми,Silf,Freir,Учиха Хидате,Vizer fon Ghoul,СОНЯ,Konan,Нагато Пейн,ArtiGarPotr,-Uchiha-Artem-,Kcapa,Гусь,Firebug,герцогиня,CM Punk,Izaya Orihara,треш,_ZeuS_,Канеки Учиха,Deathstroke,Торуне,Mikadzuki,Andara,Младший Брат,Pain,L Lawliet,mazumuz,тихиЙ ужаС,Garadin,Ledi,Сбежавший Учиха,Социопат,Brave,zzStop,Курама Якумо,LoLka 80 lvl,Большой Брат,Изуки Мидория,Хичиго Широсаки,ШикамарУ,Mrak,Тобирама Сенджу,Кимимаро,Ogawa,Alukard,Mirajane,Пчёлка,Djons,Последователь,~TITAN~,Scifsyyh,~KiLLeR~,Г а а р а,_Призрак_,TheJoker,StanLee,Хрустальный Лис,Корвин,-Sally-,Supa,Grimmjow,Джираия,Уайт,Акасуна_но_Сасори
20200104,168146,120734,120268,99838,97145,96660,86334,77112,74348,74023,72789,71160,70423,70007,61921,57649,54867,54198,54080,48023,46193,43658,42214,42063,41800,41252,41172,40778,40343,40230,40013,39330,38686,36127,34739,33718,33361,32988,30317,29736,29091,29010,28942,28420,27937,27592,27284,26870,26269,26233,26178,26157,25438,25325,24646,24526,24212,24209,24157,23275,23224,23182,21706,21201,21079,20970,20870,20269,20197,19278,19133,19002,18817,18452,18355,17384,17023,16809,16744,16578,16473,15694,15531,15514,15460,15411,15330,15062,14942,14542,14181,14180,14105,13855,12842,12608,12535,12487,12349,12278
date,Джирайя,Майто Гай,Uchiha Madara,Shisui,AloneInTheDark,Айзен,Rosich,sensey,Yahiko,YuRaN III,Сайдзо,Нет,Мастер ИП,Orochimaru,Rock Lee,Tayuya,РИДИК,Rokyro Rau,Хедин,-Tobi-,KillerNick,Kira,misha10x10x,Вулкан,DeYsTrave,Kirishima Touka,Itachi Uchiha,Акабане Карма,сноК,Neji Hyuga,Fludo,Социопат_мл,_Indra_,Леди ангел,Акасуна но Акира,Trigun,Ога Тацуми,Silf,Freir,Учиха Хидате,Vizer fon Ghoul,СОНЯ,Konan,Нагато Пейн,ArtiGarPotr,-Uchiha-Artem-,Kcapa,Гусь,Firebug,герцогиня,CM Punk,Izaya Orihara,треш,_ZeuS_,Канеки Учиха,Deathstroke,Andara,Mikadzuki,Торуне,Младший Брат,Pain,L Lawliet,mazumuz,тихиЙ ужаС,Garadin,Ledi,Сбежавший Учиха,Социопат,Brave,zzStop,Курама Якумо,LoLka 80 lvl,Большой Брат,Хичиго Широсаки,Изуки Мидория,ШикамарУ,Mrak,Тобирама Сенджу,Кимимаро,Ogawa,Alukard,Mirajane,Пчёлка,Djons,Последователь,~TITAN~,Scifsyyh,~KiLLeR~,Г а а р а,_Призрак_,TheJoker,StanLee,Хрустальный Лис,Корвин,-Sally-,Supa,Grimmjow,Джираия,Уайт,Акасуна_но_Сасори
20200105,168369,120751,120603,99932,97238,96742,86464,77177,74489,74093,72836,71299,70468,70007,61921,57649,54868,54303,54173,48080,46193,43812,42264,42063,41800,41252,41186,40858,40343,40230,40092,39420,38686,36337,34739,33718,33361,32988,30317,29823,29128,29010,28942,28604,27937,27592,27284,26870,26555,26233,26201,26157,25438,25325,24646,24526,24503,24350,24259,23275,23254,23182,21706,21201,21149,20970,20870,20269,20197,19278,19138,19002,18893,18527,18452,17384,17023,16814,16744,16578,16473,15694,15531,15522,15512,15411,15347,15062,14942,14542,14181,14180,14105,13855,12842,12608,12535,12487,12349,12278
date,Джирайя,Майто Гай,Uchiha Madara,Shisui,AloneInTheDark,Айзен,Rosich,sensey,Юморист,YuRaN III,Сайдзо,Нет,Мастер ИП,Orochimaru,Rock Lee,Tayuya,РИДИК,Rokyro Rau,Хедин,-Tobi-,KillerNick,Kira,misha10x10x,Вулкан,DeYsTrave,Kirishima Touka,Sakata Gintoki,Акабане Карма,сноК,Neji Hyuga,Fludo,Социопат_мл,_Indra_,Леди ангел,Акасуна но Акира,Trigun,Ога Тацуми,Silf,Freir,Учиха Хидате,Vizer fon Ghoul,СОНЯ,Konan,Нагато Пейн,ArtiGarPotr,-Uchiha-Artem-,Kcapa,Гусь,Firebug,герцогиня,CM Punk,Izaya Orihara,треш,_ZeuS_,Andara,Канеки Учиха,Deathstroke,Mikadzuki,Торуне,Pain,Младший Брат,L Lawliet,mazumuz,Garadin,тихиЙ ужаС,Ledi,Сбежавший Учиха,Социопат,Brave,zzStop,Курама Якумо,LoLka 80 lvl,Большой Брат,Хичиго Широсаки,Изуки Мидория,ШикамарУ,Mrak,Тобирама Сенджу,Кимимаро,Ogawa,Alukard,Mirajane,Последователь,Djons,Пчёлка,~TITAN~,Scifsyyh,~KiLLeR~,Г а а р а,_Призрак_,TheJoker,StanLee,Хрустальный Лис,Корвин,-Sally-,Supa,Grimmjow,Джираия,Уайт,TipS
